Position Id,Total Successful Passes All,Total Unsuccessful Passes All,Total Successful Passes Excl Crosses Corners,Successful Passes Own Half,Unsuccessful Passes Own Half,Successful Passes Opposition Half,Unsuccessful Passes Opposition Half,Successful Passes Defensive third,Unsuccessful Passes Defensive third,Successful Passes Middle third,Successful Passes Final third,Successful Short Passes,Successful Long Passes,Successful Dribbles,Successful Lay-Offs,Touches,Duels won,Duels lost,Aerial Duels won,Aerial Duels lost,Ground Duels won,Ground Duels lost,Tackles Won,Tackles Lost,Total Clearances,Interceptions,Recoveries,Total Fouls Conceded,Total Fouls Won,Saves Made,Turnovers,Dispossessed,Pass Forward,Pass Backward,Touches open play final third,Touches open play opp box,Touches open play opp six yards
4,36.66666667,10,33.33333333,3.333333333,0,30,6.666666667,3.333333333,0,10,20,30,3.333333333,0,0,50,3.333333333,0,0,0,3.333333333,0,3.333333333,0,0,0,0,0,0,0,0,0,13.33333333,10,23.33333333,3.333333333,0
4,48,0,48,12,0,36,0,6,0,24,18,42,6,0,6,66,0,6,0,0,0,6,0,0,0,6,6,0,0,0,0,0,18,18,24,6,0
4,57.85714286,12.85714286,45,6.428571429,0,38.57142857,12.85714286,0,0,12.85714286,32.14285714,45,0,6.428571429,0,102.8571429,12.85714286,6.428571429,0,0,12.85714286,6.428571429,6.428571429,0,6.428571429,6.428571429,25.71428571,0,0,0,0,0,6.428571429,19.28571429,77.14285714,12.85714286,0
4,32.4,8.4,31.2,3.6,0,27.6,3.6,2.4,0,10.8,18,31.2,0,3.6,1.2,61.2,4.8,7.2,0,0,4.8,7.2,0,1.2,0,1.2,10.8,0,0,0,0,2.4,8.4,3.6,28.8,9.6,0
4,26.47058824,4.235294118,26.47058824,6.352941176,1.058823529,20.11764706,3.176470588,1.058823529,0,11.64705882,13.76470588,23.29411765,3.176470588,2.117647059,1.058823529,44.47058824,2.117647059,7.411764706,0,0,2.117647059,7.411764706,0,0,0,0,3.176470588,1.058823529,0,0,0,3.176470588,5.294117647,6.352941176,25.41176471,3.176470588,0
4,42,10,42,13,0,29,8,4,0,22,16,40,2,0,5,69,2,8,0,1,2,7,2,0,0,0,5,1,0,0,0,1,9,13,35,4,0
4,30,12,24,0,0,24,6,0,0,12,12,24,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,36,0,0
4,27,0,27,9,0,18,0,0,0,18,9,27,0,9,0,45,9,9,0,0,9,9,0,0,0,0,9,9,0,0,0,0,9,0,27,18,0
4,38,14,38,2,0,36,6,0,0,12,26,34,4,0,2,84,2,10,0,0,2,10,0,0,0,6,12,4,2,0,0,0,12,8,40,8,0
4,39.74025974,4.675324675,36.23376623,10.51948052,1.168831169,25.71428571,3.506493506,3.506493506,1.168831169,15.19480519,17.53246753,36.23376623,0,0,0,60.77922078,2.337662338,4.675324675,0,0,2.337662338,4.675324675,1.168831169,0,0,0,5.844155844,0,1.168831169,0,0,3.506493506,11.68831169,8.181818182,18.7012987,4.675324675,0
4,0,90,0,0,0,0,90,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0
4,25.71428571,6.428571429,19.28571429,6.428571429,0,12.85714286,0,3.214285714,0,3.214285714,12.85714286,19.28571429,0,3.214285714,0,45,12.85714286,3.214285714,0,0,12.85714286,3.214285714,0,6.428571429,0,0,0,3.214285714,3.214285714,0,0,0,3.214285714,6.428571429,28.92857143,3.214285714,0
4,90,15,75,15,0,60,0,15,0,15,45,45,30,0,0,120,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,0,105,15,0
4,38,16,38,6,0,32,10,0,0,15,23,36,2,2,3,72,4,5,0,0,4,5,1,0,0,2,8,0,1,0,0,0,16,7,43,4,0
4,64.64788732,12.67605634,63.38028169,19.01408451,1.267605634,44.36619718,7.605633803,6.338028169,0,27.88732394,29.15492958,55.77464789,7.605633803,0,7.605633803,88.73239437,1.267605634,1.267605634,0,0,1.267605634,1.267605634,0,1.267605634,0,2.535211268,8.873239437,0,0,0,0,0,13.94366197,27.88732394,48.16901408,2.535211268,0
4,96.42857143,12.85714286,96.42857143,0,0,96.42857143,12.85714286,0,0,45,51.42857143,96.42857143,0,0,6.428571429,141.4285714,0,6.428571429,0,0,0,6.428571429,0,0,0,0,6.428571429,0,0,0,0,6.428571429,19.28571429,12.85714286,90,25.71428571,0
4,43.33333333,3.333333333,43.33333333,13.33333333,3.333333333,30,0,3.333333333,3.333333333,26.66666667,13.33333333,40,3.333333333,0,0,66.66666667,0,10,0,0,0,10,0,0,3.333333333,3.333333333,13.33333333,3.333333333,0,0,0,3.333333333,10,6.666666667,20,6.666666667,0
4,36.4556962,6.835443038,35.3164557,10.25316456,1.139240506,25.06329114,3.417721519,3.417721519,0,14.81012658,17.08860759,34.17721519,1.139240506,0,0,55.82278481,2.278481013,9.113924051,0,0,2.278481013,9.113924051,1.139240506,0,0,0,1.139240506,0,1.139240506,0,0,5.696202532,7.974683544,11.39240506,33.03797468,4.556962025,0
4,24.54545455,8.181818182,24.54545455,8.181818182,0,16.36363636,8.181818182,0,0,16.36363636,8.181818182,24.54545455,0,0,0,49.09090909,0,0,0,0,0,0,0,0,4.090909091,0,8.181818182,0,0,0,0,0,12.27272727,8.181818182,12.27272727,0,0
4,27.30337079,10.11235955,27.30337079,10.11235955,0,17.19101124,4.04494382,3.033707865,0,14.15730337,10.11235955,26.29213483,1.011235955,2.02247191,1.011235955,51.57303371,4.04494382,5.056179775,0,0,4.04494382,5.056179775,1.011235955,0,0,1.011235955,5.056179775,0,1.011235955,0,0,0,9.101123596,9.101123596,29.3258427,4.04494382,0
4,43.44827586,12.4137931,40.34482759,9.310344828,0,31.03448276,3.103448276,3.103448276,0,21.72413793,15.51724138,40.34482759,0,0,0,77.5862069,9.310344828,6.206896552,0,0,9.310344828,6.206896552,0,3.103448276,0,0,3.103448276,0,6.206896552,0,0,3.103448276,9.310344828,12.4137931,37.24137931,9.310344828,0
4,36,7,36,10,0,26,2,2,0,18,16,35,1,0,5,52,0,2,0,0,0,2,0,0,0,1,3,0,0,0,0,0,9,12,22,5,2
4,52,10,51,20,1,31,6,7,0,27,17,50,1,2,0,72,3,3,0,1,3,2,0,0,0,1,9,0,1,0,0,0,14,15,30,7,0
4,81.42857143,8.571428571,81.42857143,30,0,51.42857143,4.285714286,12.85714286,0,30,38.57142857,77.14285714,4.285714286,0,0,98.57142857,0,0,0,0,0,0,0,0,0,0,4.285714286,0,0,0,0,0,8.571428571,12.85714286,42.85714286,17.14285714,0
4,110,10,110,40,0,70,10,0,0,40,70,110,0,0,10,120,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,50,30,70,10,0
6,21,7,21,3,0,18,7,0,0,9,12,19,2,1,4,41,5,6,2,0,3,6,1,0,0,0,2,0,1,0,0,4,9,7,20,7,0
6,39,7,39,6,0,33,7,1,0,19,19,38,1,2,6,61,4,5,1,0,3,5,1,0,1,1,6,2,0,0,0,2,5,18,38,6,0
6,26.25,8.75,26.25,10,2.5,16.25,6.25,2.5,0,12.5,11.25,26.25,0,0,1.25,47.5,2.5,8.75,2.5,3.75,0,5,0,0,1.25,0,3.75,2.5,0,0,0,1.25,6.25,13.75,20,1.25,2.5
6,26,5,26,5,0,21,5,2,0,10,14,24,2,2,4,47,3,10,1,2,2,8,0,0,2,0,5,0,0,0,0,4,3,9,24,8,0
6,18,13,18,4,1,14,10,0,0,8,10,17,1,2,0,51,5,10,2,4,3,6,0,1,2,0,3,0,0,0,0,4,7,9,36,10,0
6,11.53846154,5.769230769,11.53846154,1.153846154,0,10.38461538,5.769230769,0,0,6.923076923,4.615384615,11.53846154,0,0,3.461538462,26.53846154,1.153846154,2.307692308,0,0,1.153846154,2.307692308,0,0,1.153846154,0,1.153846154,1.153846154,1.153846154,0,0,2.307692308,1.153846154,5.769230769,12.69230769,0,1.153846154
6,30,5,30,5,0,25,5,2,0,15,13,28,2,0,4,48,7,9,4,1,3,8,1,0,1,0,7,2,2,0,0,4,5,12,24,4,0
6,28,8,28,2,2,26,6,0,0,8,20,27,1,0,6,48,2,8,2,2,0,6,0,0,1,0,0,2,0,0,0,3,9,13,34,5,1
6,32,13,32,10,1,22,12,0,0,22,10,30,2,0,2,65,7,9,5,4,2,5,1,1,5,3,13,1,0,0,0,4,9,11,20,2,0
6,38,10,38,6,2,32,7,0,0,18,20,35,3,0,2,59,1,7,1,3,0,4,0,0,0,1,3,0,0,0,0,0,8,15,32,8,0
6,22,6,22,3,0,19,4,0,0,12,10,22,0,1,2,47,5,13,1,5,4,8,1,1,0,1,5,1,1,0,0,5,2,13,32,7,2
6,29,7,28,3,0,25,6,2,0,14,12,27,1,2,4,54,9,7,4,1,5,6,0,1,2,0,4,1,2,0,0,5,5,10,32,7,1
6,35,7,35,15,2,20,4,4,1,20,11,33,2,3,4,63,9,12,2,1,7,11,2,1,0,1,6,3,1,0,0,3,6,14,27,6,2
6,30,6,30,7,1,23,5,2,0,17,11,30,0,2,2,65,4,12,1,7,3,5,1,0,0,3,6,0,0,0,0,2,6,11,36,11,2
6,28.96551724,6.206896552,28.96551724,5.172413793,0,23.79310345,5.172413793,2.068965517,0,14.48275862,12.4137931,28.96551724,0,1.034482759,4.137931034,50.68965517,5.172413793,7.24137931,2.068965517,3.103448276,3.103448276,4.137931034,0,0,0,0,3.103448276,1.034482759,2.068965517,0,0,0,6.206896552,12.4137931,34.13793103,11.37931034,0
6,20,5,20,4,0,16,5,3,0,11,6,20,0,0,1,43,8,9,4,1,4,8,3,0,0,2,6,5,1,0,0,2,6,4,12,5,0
6,16,2,16,10,0,6,2,4,0,8,4,16,0,0,4,32,0,10,0,6,0,4,0,0,2,4,6,4,0,0,0,2,6,6,12,4,0
6,35,10,35,2,0,33,10,0,0,11,24,33,2,0,5,57,2,6,2,1,0,5,0,0,0,1,4,0,0,0,0,5,7,13,38,10,0
6,27,10,27,9,2,18,8,2,0,16,9,27,0,1,4,55,5,8,2,3,3,5,1,0,1,0,4,1,1,0,0,3,4,11,26,7,2
6,16.94117647,7.411764706,16.94117647,4.235294118,0,12.70588235,7.411764706,1.058823529,0,10.58823529,5.294117647,16.94117647,0,1.058823529,1.058823529,38.11764706,8.470588235,7.411764706,4.235294118,1.058823529,4.235294118,6.352941176,0,1.058823529,0,0,2.117647059,2.117647059,2.117647059,0,0,3.176470588,5.294117647,4.235294118,11.64705882,5.294117647,0
6,22,13,21,1,1,20,12,0,0,9,12,21,0,1,2,54,9,12,6,6,3,6,0,1,2,0,2,0,1,0,0,4,12,7,28,9,1
6,48,5,48,10,1,38,4,2,0,25,21,45,3,0,7,79,3,15,0,3,3,12,1,0,0,1,5,3,2,0,0,6,9,13,42,8,1
6,65,8,64,19,0,45,7,4,0,42,18,63,1,1,13,87,5,7,3,1,2,6,0,0,0,0,6,4,1,0,0,4,15,29,39,6,1
6,33,4,33,5,1,28,2,0,0,19,14,33,0,1,5,63,5,13,2,1,3,12,1,1,0,2,8,1,0,0,0,8,3,17,35,6,0
6,22,8,22,7,2,15,5,2,1,14,6,18,4,1,4,45,2,5,1,2,1,3,0,0,4,0,4,2,0,0,0,0,6,4,19,6,0
6,39,6,39,15,0,24,6,1,0,25,13,38,1,1,4,63,3,9,1,2,2,7,0,1,0,0,4,1,0,0,0,5,9,19,30,9,1
6,14,7,14,4,0,10,4,1,0,10,3,14,0,1,2,47,3,11,2,0,1,11,0,0,0,0,1,4,0,0,0,6,2,8,31,9,0
6,20.2247191,11.12359551,20.2247191,4.04494382,1.011235955,16.17977528,10.11235955,1.011235955,0,12.13483146,7.078651685,20.2247191,0,0,1.011235955,44.49438202,3.033707865,5.056179775,1.011235955,1.011235955,2.02247191,4.04494382,0,0,1.011235955,0,3.033707865,1.011235955,2.02247191,0,0,3.033707865,6.06741573,11.12359551,22.24719101,6.06741573,0
6,21,5,21,4,0,17,4,0,0,14,7,19,2,0,3,35,0,5,0,1,0,4,0,0,0,0,1,1,0,0,0,3,7,9,13,3,0
